english,turkish
be,olmak
and,ve
a,bir
in,içinde
to,ile
have,Sahip olmak
to,ile
it,BT
I,ben
that,o
for,için
you,sen
he,o
with,ile birlikte
on,üzerinde
do,yapmak
's,'ın
say,söylemek
they,onlar
this,Bu
but,ancak
at,-de
we,Biz
his,onun
from,itibaren
that,o
not,olumsuzluk
not,değil
by,ile
or,veya
she,o
as,olarak
what,ne
go,Git
their,onların
will,niyet
who,kim
can,Yapabilmek
get,almak
if,eğer
all,tüm
would,istemek
her,o
make,Yapmak
about,hakkında
my,benim
know,bilmek
as,olarak
there,orada
one,bir
up,yukarı
time,zaman
year,yıl
so,böyle
think,düşünmek
see,görmek
which,Hangi
when,ne zaman
some,bazı
them,onlara
people,insanlar
take,almak
me,ben
out,dışarı
into,içine
just,sadece
him,o
come,gelmek
your,senin
now,şimdi
could,abilir
than,hariç
like,beğenmek
other,başka
then,sonra
how,nasıl
its,onun
two,iki
our,bizim
more,daha fazla
these,bunlar
want,istek
way,yol
no,hayır
look,bakmak
first,ilk
also,ayrıca
new,yeni
because,çünkü
day,gün
more,daha fazla
use,kullanmak
man,adam
here,burada
find,bulmak
give,vermek
thing,şey
well,kuyu
many,birçok
only,sadece
those,şunlar
tell,söylemek
very,çok
one,bir
even,Bile
her,o
back,geri
any,hiç
good,iyi
us,biz
through,vasıtasıyla
woman,Kadın
life,hayat
child,çocuk
there,orada
down,aşağı
work,iş
after,sonrasında
call,aramak
may,Mayıs
world,dünya
over,üzerinde
should,meli
still,hâlâ
try,denemek
in,içinde
school,okul
as,olarak
last,geçen
ask,sormak
too,fazla
need,ihtiyaç
three,üç
feel,hissetmek
when,ne zaman
become,olmak
state,durum
never,asla
between,arasında
high,yüksek
something,bir şey
really,Gerçekten
most,çoğu
another,bir diğer
much,fazla
own,sahip olmak
family,aile
out,dışarı
house,ev
leave,ayrılmak
put,koy
old,eskimiş
on,üzerinde
while,süre
mean,kastetmek
let,İzin Vermek
why,Niye
president,Devlet Başkanı
keep,Tut
same,aynı
great,İyi
begin,başlamak
big,büyük
seem,gözükmek
group,grup
country,ülke
talk,konuşmak
problem,sorun
where,nerede
turn,dönüş
student,Öğrenci
every,her
hand,el
help,Yardım Edin
against,karşı
start,Başlat
American,Amerikan
part,Bölüm
show,göstermek
about,hakkında
over,üzerinde
might,Might
such,çok
place,yer
again,Yeniden
city,Kent
case,dava
most,çoğu
few,az
system,sistem
week,hafta
where,nerede
company,şirket
each,her biri
percent,yüzde
hear,duymak
so,böyle
during,sırasında
question,soru
right,Sağ
program,program
work,iş
run,koşmak
number,sayı
small,küçük
government,devlet
play,Oyna
off,kapalı
move,hareket
like,beğenmek
always,Her zaman
night,gece
believe,inanmak
today,bugün
hold,tutmak
point,puan
live,canlı
happen,olmak
bring,getirmek
next,sonraki
without,olmadan
before,önceki
large,büyük
must,zorunlu
all,tüm
war,savaş
home,ev
under,altında
room,oda
fact,hakikat
area,alan
national,Ulusal
write,yazmak
money,para
right,Sağ
story,Öykü
water,su
mother,anne
different,farklı
young,genç
month,ay
lot,pay
book,kitap
eye,göz
study,ders çalışma
job,Görev
kind,tür
word,kelime
issue,sorun
side,yan
four,dört
business,işletme
though,Yine de
head,kafa
far,uzak
long,uzun
black,siyah
million,milyon
both,ikisi birden
little,biraz
yes,evet
after,sonrasında
since,dan beri
around,etrafında
long,uzun
provide,sağlamak
service,hizmet
important,önemli
sit,oturmak
away,uzak
friend,arkadaş
however,fakat
power,güç
no,hayır
yet,henüz
father,baba
hour,saat
often,sıklıkla
until,a kadar
political,siyasi
line,astar
end,son
stand,durmak
among,arasında
game,oyun
ever,durmadan
lose,kaybetmek
bad,kötü
member,üye
meet,tanışmak
pay,ödemek
law,yasa
almost,hemen hemen
car,araba
later,sonra
much,fazla
name,isim
include,Dahil etmek
five,beş
center,merkez
once,bir Zamanlar
university,Üniversite
continue,devam et
least,en az
real,gerçek
white,beyaz
change,değiştirmek
set,Ayarlamak
